molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1008,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,intermediate,3210.0
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,intermediate,1380.0
CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,intermediate,1440.0
CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,26.0
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,active,1000.0
CHEMBL4084475,Cc1ccc(CN2CCCN(C)C3(CCN(C)CC3)C2)cc1C,active,1000.0
CHEMBL4064522,Cc1[nH]c2c(CN3CC(CO)C(CN4CCCC4)C3)cccc2c1C,active,1000.0
CHEMBL399021,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CN2CCCC2)C1,active,1000.0
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,inactive,13200.0
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,inactive,10300.0
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,intermediate,7800.0
CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,150.0
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,inactive,11400.0
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,intermediate,6240.0
CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,162.0
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,inactive,13700.0
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,intermediate,4990.0
CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,566.0
CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,13.0
CHEMBL4216072,O=C(CC12CC3CC(CC(Cl)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,500.0
CHEMBL4211103,O=C(CC12CC3CC(CC(Br)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,600.0
CHEMBL4203855,O=C(CC12CC3(F)CC(F)(CC(F)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,200.0
CHEMBL4215531,O=C(CC12CC3CC(C1)CC(c1ccccc1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,700.0
CHEMBL4208214,O=C(CC12CC3CC(C1)CC(c1ccc(O)c([N+](=O)[O-])c1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,600.0
CHEMBL4203338,O=C(CC12CC3CC(CC(O)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,500.0
CHEMBL4210694,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(C3)CC(C(=O)O)(C5)C4)CC2)cc1,intermediate,2000.0
CHEMBL4205827,CC1(CC(=O)NCC(=O)N2CCN(Cc3ccccc3OCc3ccc(Br)cc3)CC2)CCCCC1,active,520.0
CHEMBL4216746,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3(C)CCCCC3)CC2)cc1,active,80.0
CHEMBL4205057,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CC(F)(F)C3)CC2)cc1,active,300.0
CHEMBL4204562,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,50.0
CHEMBL4209431,COC(=O)c1ccc(COc2ccc(F)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,18.0
CHEMBL4208899,COC(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,15.0
CHEMBL4213824,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CC34CCCCC4)CC2)cc1,active,73.0
CHEMBL4213290,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CC3(C)C)CC2)cc1,active,300.0
CHEMBL4218225,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3(F)CC3)CC2)cc1,intermediate,2900.0
CHEMBL4217701,COC(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C(F)(F)C(F)F)CC2)cc1,active,160.0
CHEMBL4205980,O=C(CC(F)(F)C1CCCCC1)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,intermediate,2000.0
CHEMBL4214380,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)ccc2O)CC1,active,470.0
CHEMBL4209473,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)cc(F)c2O)CC1,intermediate,2800.0
CHEMBL4209988,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)cc(Cl)c2O)CC1,intermediate,3600.0
CHEMBL4205104,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Br)ccc2O)CC1,active,790.0
CHEMBL4205619,O=C(NCC(=O)N1CCN(Cc2cc(Cl)ccc2O)CC1)C1CC12CCC(F)(F)CC2,active,180.0
CHEMBL4210009,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,active,340.0
CHEMBL4202738,Nc1ccc(Br)cc1CN1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,intermediate,1740.0
CHEMBL4214399,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)ccc2NS(=O)(=O)C2CC2)CC1,intermediate,2200.0
CHEMBL4208035,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)ccc2NC(=O)C2CC2)CC1,intermediate,3500.0
CHEMBL4213694,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,active,100.0
CHEMBL4214214,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCCC3)CC1,active,240.0
CHEMBL4209297,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCC3)CC1,intermediate,2500.0
CHEMBL4203991,CCC1(CC)CC1C(=O)NCC(=O)N1CCN(Cc2cc(Cl)ccc2N)CC1,active,160.0
CHEMBL4217000,Nc1ccc(C2CC2)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,intermediate,4200.0
CHEMBL4217527,Nc1ccc(Cl)cc1C(=O)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,intermediate,5000.0
CHEMBL4212571,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,active,347.0
CHEMBL4208672,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,active,94.0
CHEMBL4208672,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,active,51.0
CHEMBL4208672,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,active,180.0
CHEMBL4209778,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,220.0
CHEMBL4217113,COC(=O)c1ccc(COc2ccc(F)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,1.4
CHEMBL4205398,COC(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,1.1
CHEMBL4212693,COC(=O)c1ccc(COc2ccc(Br)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,9.0
CHEMBL4217639,COC(=O)c1ccc(COc2ccc(C)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,12.0
CHEMBL4208300,COC(=O)c1ccc(COc2ccc(OC)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,intermediate,1400.0
CHEMBL4213225,COC(=O)c1ccc(COc2ccc(C#N)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,50.0
CHEMBL4206118,COS(=O)(=O)c1ccc(COc2ccc(F)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,5.0
CHEMBL4204116,COC(=O)c1ccc(/C=C/c2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,intermediate,1500.0
CHEMBL4215782,COC(=O)c1ccc(CCc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,20.0
